Time (s)	γ (-)	γ_dot (1/s)	σ (Pa)
0.1003	2.0050	19.9497	43.4703
0.2003	3.9933	19.8000	41.9318
0.3003	5.9617	19.5524	41.1046
0.4003	7.9006	19.2093	40.1703
0.5003	9.8005	18.7742	39.6998
0.6003	11.6525	18.2515	38.8408
0.7003	13.4481	17.6463	38.4986
0.8003	15.1792	16.9647	37.1669
0.9003	16.8387	16.2135	36.0329
1.0003	18.4198	15.4002	35.0672
1.1003	19.9169	14.5330	33.6628
1.2003	21.3249	13.6205	32.7725
1.3003	22.6398	12.6718	31.0380
1.4003	23.8584	11.6964	29.5848
1.5003	24.9785	10.7041	27.9315
1.6003	25.9989	9.7047	26.3493
1.7003	26.9195	8.7083	25.0719
1.8003	27.7410	7.7248	23.1985
1.9003	28.4652	6.7640	21.3263
2.0003	29.0949	5.8355	19.8735
2.1003	29.6337	4.9487	18.2977
2.2003	30.0863	4.1123	16.5392
2.3003	30.4582	3.3348	14.5632
2.4003	30.7555	2.6238	12.9512
2.5003	30.9854	1.9866	11.1980
2.6003	31.1555	1.4294	9.4850
2.7003	31.2741	0.9579	7.7376
2.8003	31.3501	0.5767	5.9681
2.9003	31.3926	0.2896	4.2556
3.0003	31.4112	0.0996	2.7802
3.1003	31.4158	0.0085	1.5852
3.2003	31.4163	0.0172	1.1223
3.3003	31.4226	0.1257	1.7313
3.4003	31.4447	0.3329	3.9066
3.5003	31.4924	0.6366	7.5218
3.6003	31.5751	1.0339	11.0065
3.7003	31.7021	1.5207	13.9855
3.8003	31.8821	2.0923	16.3640
3.9003	32.1232	2.7429	18.7164
4.0003	32.4331	3.4661	20.6908
4.1003	32.8186	4.2545	22.7339
4.2003	33.2860	5.1004	24.1416
4.3003	33.8403	5.9950	25.7430
4.4003	34.4863	6.9298	27.6106
4.5003	35.2273	7.8953	29.0606
4.6003	36.0660	8.8818	30.7087
4.7003	37.0041	9.8795	31.8611
4.8003	38.0419	10.8783	33.5033
4.9003	39.1794	11.8684	34.7465
5.0003	40.4150	12.8398	35.9683
5.1003	41.7464	13.7828	37.2028
5.2003	43.1704	14.6882	38.2774
5.3003	44.6825	15.5465	39.3942
5.4003	46.2778	16.3495	40.3944
5.5003	47.9502	17.0890	41.2523
5.6003	49.6932	17.7577	42.0421
5.7003	51.4994	18.3490	42.6183
5.8003	53.3602	18.8567	43.1539
5.9003	55.2676	19.2760	43.6012
6.0003	57.2123	19.6026	43.8987
6.1003	59.1849	19.8333	44.0859
6.2003	61.1759	19.9657	44.1142
6.3003	63.1747	19.9985	44.0644
6.4003	65.1721	19.9315	43.8790
6.5003	67.1577	19.7652	43.5058
6.6003	69.1218	19.5013	43.0620
6.7003	71.0550	19.1425	42.4645
6.8003	72.9473	18.6923	41.6439
6.9003	74.7904	18.1553	40.8476
7.0003	76.5757	17.5369	39.0357
7.1003	78.2952	16.8431	38.8438
7.2003	79.9421	16.0808	37.6227
