0.07746,0.781782355984876
0.17918,0.889915508191144
0.33046,1.04693983200979
0.52397,1.23809497795916
0.77045,1.46808815005242
1.07587,1.73679087087999
1.44753,2.0453668098688
1.91343,2.41081936782005
2.46696,2.82196050471483
3.15431,3.30668648231998
3.97729,3.85932007277512
4.97645,4.50058538347875
6.17643,5.23964186812312
7.61441,6.09342505942975
9.33009,7.08026641392172
11.3832,8.23003748485535
13.8239,9.56748035501155
16.7404,11.1388185628786
20.2012,12.9802463426933
24.3081,15.1467674670011
29.1647,17.6951558769363
34.8931,20.6926778310441
41.6429,24.2215156512264
49.6372,28.4025977970755
59.0877,33.3510868678628
70.2312,39.1952199903736
83.3235,46.0728057558575
97.7517,53.6635818543295
