Time (s)	γ (-)	γ_dot (1/s)	σ (Pa)
12.7003	12.83382936	1.991044858	16.3882
12.8003	13.03210166	1.972763069	16.4368
12.9003	13.22805788	1.944761753	16.2057
13.0003	13.42073925	1.907320691	15.7828
13.1003	13.60921973	1.860813979	15.6657
13.2003	13.79261525	1.805706299	15.3961
13.3003	13.97009256	1.742548268	15.184
13.4003	14.14087751	1.671970941	14.8602
13.5003	14.30426287	1.594679501	14.47
13.6003	14.45961529	1.511446221	14.1233
13.7003	14.60638171	1.423102739	13.7331
13.8003	14.74409487	1.330531754	13.2557
13.9003	14.87237794	1.234658206	12.8889
14.0003	14.99094833	1.13644003	12.4512
14.1003	15.09962049	1.03685859	12.0573
14.2003	15.19830777	0.936908872	11.5307
14.3003	15.28702329	0.837589539	11.0437
14.4003	15.36587979	0.739892958	10.4553
14.5003	15.43508854	0.644795281	9.89524
14.6003	15.49495719	0.553246691	9.35129
14.7003	15.54588672	0.466161913	8.66989
14.8003	15.58836743	0.384411069	8.09467
14.9003	15.62297403	0.308810986	7.40648
15.0003	15.6503599	0.240117035	6.70157
15.1003	15.6712506	0.179015583	5.90118
15.2003	15.68643655	0.126117137	5.18267
15.3003	15.69676518	0.081950239	4.37051
15.4003	15.70313246	0.04695619	3.57108
15.5003	15.70647394	0.021484641	2.78093
15.6003	15.70775539	0.005790093	2.10708
15.7003	15.70796319	2.93627E-05	1.5797
15.8003	15.70809442	0.004260008	1.3079
15.9003	15.70914694	0.018439758	1.35403
16.0003	15.7121094	0.042426934	1.83655
16.1003	15.71795136	0.075981863	2.88156
16.2003	15.72761362	0.118769276	4.43033
16.3003	15.74199881	0.170361655	6.36994
16.4003	15.76196236	0.230243506	8.17687
16.5003	15.78830397	0.29781651	9.85724
16.6003	15.82175961	0.372405499	11.0738
16.7003	15.86299416	0.453265204	12.1554
16.8003	15.9125948	0.539587703	13.0531
16.9003	15.9710651	0.63051049	13.7666
17.0003	16.03882	0.725125094	14.4377
17.1003	16.1161817	0.822486156	14.9848
17.2003	16.20337638	0.921620879	15.4341
17.3003	16.30053199	1.02153874	15.8365
17.4003	16.40767695	1.121241392	16.2307
17.5003	16.52473987	1.219732641	16.4688
17.6003	16.65155027	1.316028394	16.6961
17.7003	16.78784026	1.409166496	16.7912
17.8003	16.93324725	1.498216341	17.0664
17.9003	17.08731754	1.582288173	17.1884
18.0003	17.24951088	1.660541975	17.0961
18.1003	17.41920586	1.732195859	17.4245
18.2003	17.59570611	1.796533884	17.3247
18.3003	17.77824726	1.852913206	17.315
18.4003	17.96600459	1.900770502	17.3086
18.5003	18.15810125	1.939627596	17.3024
18.6003	18.35361706	1.969096241	17.2464
18.7003	18.55159763	1.988881998	17.129
18.8003	18.75106399	1.998787172	17.002
18.9003	18.9510223	1.998712795	16.7854
19.0003	19.15047381	1.988659611	16.692
19.1003	19.34842484	1.968728066	16.6273
19.2003	19.54389668	1.93911731	16.2491
19.3003	19.73593542	1.900123205	16.1359
19.4003	19.92362143	1.852135366	15.758
19.5003	20.10607859	1.795633272	15.6299
19.6003	20.28248301	1.731181474	15.291
19.7003	20.45207128	1.659423952	14.9046
19.8003	20.6141481	1.581077684	14.6001
19.9003	20.76809322	1.496925479	14.189
20.0003	20.91336763	1.40780816	13.8918
20.1003	21.04951898	1.314616156	13.3058
20.2003	21.17618605	1.218280612	12.9539
20.3003	21.29310238	1.11976408	12.5213
20.4003	21.40009896	1.020050905	12.0753
20.5003	21.49710588	0.920137387	11.4505
20.6003	21.58415305	0.821021831	10.9722
20.7003	21.66136988	0.723694565	10.409
20.8003	21.72898401	0.629128052	9.83607
20.9003	21.78731905	0.538267169	9.25765
21.0003	21.83679128	0.452019768	8.61348
21.1003	21.87790557	0.371247604	7.98246
21.2003	21.91125028	0.296757726	7.25438
21.3003	21.93749141	0.229294412	6.59005
21.4003	21.95736594	0.169531734	5.85276
21.5003	21.97167444	0.11806682	5.05695
21.6003	21.98127313	0.075413892	4.24762
21.7003	21.98706526	0.041999121	3.37992
21.8003	21.98999213	0.018156379	2.67464
21.9003	21.99102366	0.004123894	2.01086
22.0003	21.9911487	4.1874E-05	1.53625
22.1003	21.99136519	0.005951105	1.2797
22.2003	21.99267011	0.021792544	1.38956
22.3003	21.9960496	0.047407908	1.95575
22.4003	22.00246906	0.082541257	3.13797
22.5003	22.01286352	0.126841552	4.71771
22.6003	22.02812828	0.179866156	6.68708
22.7003	22.04910999	0.241085267	8.46726
22.8003	22.07659818	0.309887203	10.0215
22.9003	22.11131735	0.385584518	11.3248
23.0003	22.15391978	0.46742087	12.3524
23.1003	22.20497897	0.554578576	13.1679
23.2003	22.2649839	0.646186786	13.9756
23.3003	22.3343342	0.74133018	14.5483
23.4003	22.41333611	0.839058118	15.1535
23.5003	22.50219945	0.938394133	15.6041
23.6003	22.60103547	1.038345695	16.0229
23.7003	22.70985581	1.137914118	16.407
23.8003	22.82857234	1.23610455	16.6516
23.9003	22.95699806	1.331935903	16.8855
24.0003	23.09484893	1.424450662	17.154
24.1003	23.24174678	1.51272445	17.2952
24.2003	23.397223	1.595875265	17.4233
24.3003	23.5607233	1.673072292	17.5587
24.4003	23.73161321	1.743544202	17.6039
24.5003	23.90918442	1.806586865	17.7266
24.6003	24.09266186	1.861570378	17.6919
24.7003	24.28121145	1.907945365	17.7357
24.8003	24.47394843	1.945248462	17.6674
24.9003	24.66994622	1.973106949	17.5733
25.0003	24.86824562	1.991242473	17.5624
25.1003	25.06786446	1.999473829	17.4126
25.2003	25.26780739	1.997718774	17.2409
25.3003	25.46707581	1.985994842	17.1285
25.4003	25.66467786	1.964419176	16.9146
25.5003	25.85963833	1.933207353	16.6326
25.6003	26.05100842	1.892671229	16.408
25.7003	26.23787517	1.84321583	16.1942
25.8003	26.41937065	1.785335298	15.9311
25.9003	26.59468058	1.719607954	15.5505
26.0003	26.76305249	1.646690526	15.1962
26.1003	26.92380323	1.567311579	14.7772
26.2003	27.0763258	1.482264243	14.3507
26.3003	27.22009541	1.392398282	13.9578
26.4003	27.35467472	1.298611607	13.5298
26.5003	27.47971824	1.201841304	13.1136
26.6003	27.59497573	1.103054269	12.5724
26.7003	27.70029476	1.00323755	12.0823
26.8003	27.79562217	0.903388482	11.5229
26.9003	27.88100464	0.804504725	10.9719
27.0003	27.95658824	0.707574292	10.4306
27.1003	28.02261693	0.613565679	9.8366
27.2003	28.07943013	0.523418191	9.1689
27.3003	28.12745935	0.438032551	8.58143
27.4003	28.16722387	0.358261904	7.89363
27.5003	28.19932553	0.284903291	7.19864
27.6003	28.22444277	0.218689689	6.53124
27.7003	28.24332378	0.160282681	5.67146
27.8003	28.25677907	0.110265851	4.93468
27.9003	28.26567338	0.06913895	4.12051
28.0003	28.27091699	0.037312905	3.28194
28.1003	28.27345669	0.015105712	2.53493
28.2003	28.27426627	0.002739256	1.91835
28.3003	28.2743368	0.000337101	1.46878
28.4003	28.27466675	0.007923246	1.30186
28.5003	28.27625198	0.025421895	1.48023
28.6003	28.28007582	0.052658206	2.12775
28.7003	28.28709924	0.089360043	3.37814
28.8003	28.29825122	0.135160693	5.03854
