0.001,0.00166593519786446,1093.63310024847,1850325.5426279,4325556456.12172,12977151060689
0.0025,0.00166650769789852,1093.44120022523,1850173.9212206,4326810624.90109,12989043100128
0.005,0.00166743374792488,1093.14384640862,1849998.0805974,4329170559.19009,13009952636692.9
0.01,0.00166923844701227,1092.58604608984,1849769.65392714,4334315848.76981,13053498464792.6
0.025,0.00167448687713641,1091.01901406325,1849394.06076061,4350700906.41114,13187903032888.3
0.05,0.00168302345277151,1088.55801119426,1849141.87762657,4378878432.17018,13414998266697.1
0.1,0.00169938063251614,1083.75775670572,1848168.76443482,4431112885.46022,13848637318962
0.5,0.0018062222552126,1047.57365096809,1809356.87474471,4605167354.94823,15896656242460.8
1,0.00190251422994506,1007.64144673529,1724807.35281238,4482691258.17478,16171178167332
2.5,0.0020976892823293,915.153135373442,1470146.6822663,3713224974.79899,13349854690095.7
5,0.00231199322748131,810.884446470845,1163401.63869962,2663124644.61835,8768406283874.89
7.5,0.00247104353180875,738.003751028294,958324.739761345,1989367851.30035,5952782280600.46
10,0.00260131718827564,682.594682463013,812218.095236977,1542048353.41608,4219199956340.55
25,0.00311800438676416,502.144869026673,412377.16562849,526231247.322286,958400506363.858
50,0.00358004205132835,384.236089076928,221113.543904147,189072271.302974,227130149965.528
100,0.00399547258563652,301.927881408642,120781.494380581,66666482.5857978,50325564855.3685
150,0.00416866233029949,272.271551981251,90945.73789881,39571628.7355112,22921160749.6197
200,0.00425815517240202,257.976909145663,77775.0664045637,29243076.2468748,14256981558.3527
250,0.00431277288311755,249.728736301434,70608.3744420981,24094413.0414159,10408608529.971
300,0.00435346169256374,243.889631439109,65773.1329769366,20826082.9380816,8156378468.40144
