0.001,10.9970199377241,10.8125
0.0025,10.9957244393947,10.415
0.005,10.9959299372687,10.51
0.01,11.0003450288729,10.6975
0.025,11.0273512548769,11.74
0.05,11.09254539309,12.1625
0.1,11.255100423721,13.1225
0.5,12.7721728231271,15.0825
1,14.480330850772,16.5925
2.5,18.5092184396585,19.635
5,23.6489404334806,24.1675
7.5,27.9774991776382,28.175
10,31.9056754771847,31.875
25,52.4226928498855,52.25
50,83.9081127334722,83.625
100,147.321445137668,144.975
150,212.26598351006,198.925
200,277.707438326387,252.75
250,343.060205171695,305.75
300,408.364868408368,357.675
