N,W,alfa,b_0,porosity,error
1,0.0205274003193947,1.69734251226159,0.00131102196293679,0.843971011101835,0.108174710104225
2,0.0205713152730922,1.92804560577294,0.00116103212925713,0.84202558297949,0.108107327491202
3,0.0204228683823764,1.95124943288256,0.00124696353587357,0.844998732143797,0.108137186118777
4,0.0197938482917619,2.05767365556336,0.00163200468339581,0.846307608252691,0.108193554259626
